index,review_id,user_id,business_id,stars,date,text,useful,funny,cool
3436,llisFcajuGfTkIBhSU3slg,1r5ZsRkW2azhGO9eLFLCIg,NvKNe9DnQavC9GstglcBJQ,5,2015-12-13,"The truffle burger was the most amazing burger I've ever had!!!! My boyfriend got the chicken pot pie and he loved it also. Price wasn't too bad for Vegas!! Proportions are great too, I was stuffed and couldn't finish my meal!! 
Must say, I would come back any time!!",0,0,0
5064,GfHBBCi6LJAPVFTcCwu9aQ,UVxY0iyPaqY7s4BSFtt-xA,NvKNe9DnQavC9GstglcBJQ,3,2010-10-13,"Inside the Venetian hotel, this is where you go to eat if:

1. You don't want to pay an arm and a leg at the higher end, celebrity chef restaurants
2. You're losing but you don't want your S. O. or family to know it
3. You are broke, but you don't want to eat Mall food in either of the 2 food courts
4. The dinner show was sold out
5. Cheesecake Factory is your favorite restaurant
6. You want to stay close to the ""Wizard of Oz"" slot machines in hopes of getting one when it opens up
7. You are tired of walking from the Sands Convention center all the way to your room, so you stop here to rest and eat

The Grand Lux Cafe is a moderately priced, large and usually noisy restaurant at the hub of activity in the Venetian. It is between the room elevators, the escalators to the self-park parking garage, some shops, an information and ticket buying booth for shows, and the casino floor, and near the grand walkway to the lobby.

It has a large menu with something for everyone, with most entrees around $15 - $25.  Very much like the Cheesecake Factory, since this restaurant was designed by the creators of the Cheesecake Factory, that ubiquitous faux fine dining restaurant so popular with the suburban mall rat crowd.

Actually, I had a pretty good salmon entree here, well presented and not too expensive. The two Gin and Tonics helped my enjoyment. 

Service is slower, though, but you should be able to find something reasonably tasty to satisfy your poor, tired soul here in the town that wasn't built on winners.

I forgot to see what Cheesecakes they offer here.",11,8,10
5766,tSRAoKAxdNIIC8jfLEpEzQ,__8oO2ZtBkRToIVo6VbqpA,NvKNe9DnQavC9GstglcBJQ,4,2017-05-22,"Stopped by on Sunday around 2am. Just looking for a quick bite before calling it a night. Plenty of seating at that hour. Service was good with one exception.  The waiter got my order wrong, but I didn't even notice till later. I ordered the Smoked Salmon with scrambled eggs and onions. However, what I got was the Smoked Salmon platter. It still tasted good.",0,1,0
7417,NgvRwK1NQXxZS8coVgu6kA,8lL-554wLEOxCrroFa4aeg,NvKNe9DnQavC9GstglcBJQ,4,2008-10-05,"Mmmmmm....we always make a trip here when we're in Vegas, although now there is one in Scottsdale so that takes some of the excitement out of it.  

I'm usually in a group of 6 or more, and we've never had to wait more than 20 minutes for a table.  Service is good, which can be hit or miss when you're with a large group.  They start you off with warm bread, and will refill it if you ask.   I order the Pasta Telephono, it's amazing with toasted bread crumbs on top.  It's a big portion, so share or don't eat the whole day in preparation!  I've also had the Caprese Salad and the Greek Salad - two of my favorites.  

The atmosphere is nice and is a great start or finish to a night out....we are never disappointed and always look forward to the next visit!",2,0,1
8403,qbUlnC_HnJqm_J5V8IgkXw,m8nDqQ7a3zQWfkNK1_vwnQ,NvKNe9DnQavC9GstglcBJQ,4,2010-10-07,"I really enjoy coming here to eat when I'm in Vegas, and even if I'm not staying at the Venetian, I'm willing to make the drive from Mandalay Bay.  Yes, it's a Cheesecake Factory spinoff, but lunch is rarely more than $15 per head, and if you can find a better deal, please tell me because I think this place is a bargain.  If you're in a hurry, you can eat at the bar - they serve the full menu and you always get great service since the bartender is never more than a few steps away from you.  

The Venetian is too fancy for a buffet, so this is the only buffet you'll find in the entire hotel, and it's breakfast only.  It has a pretty nice variety of small muffins, bear claws, croissants, English muffins\/bagels\/toast, bacon, potatoes and a made-to-order omelet station.  The line can be pretty long, but those guys work pretty quickly.

Lots of the entrees come in a smaller lunch portion, and the service is always fantastic with drinks frequently refilled and servers coming to check on you.  I've never had a bad meal here, and when you consider how much food this kitchen turns out, I think they are pretty much hitting home runs every night.",4,2,3
11608,aU7Mu8tdRBN_2r4t-JFeWA,HqY7MULkHGnV_J96v_NvdA,NvKNe9DnQavC9GstglcBJQ,5,2017-12-03,Brunch go-to every time I'm at the Palazzo! The prices are a bit high but service is great. Mimosas are always a great pairing with their chicken n waffles!,0,0,0
12324,8Rh1opyIhcYOEoVScXdglA,zoyb93pskMhDgXZgv-DKtA,NvKNe9DnQavC9GstglcBJQ,3,2012-07-02,"In comparison, you might as well come here cause the food court next door is only a couple bucks cheaper but you get substantially more here.

Plus you get a nice sit down, and friendly servers.

Their bread is a little hard though so if you're getting a sandwich, think twice!",1,1,1
13350,jbnS2-XLdZS3OlwFIG_BPA,2aeNFntqY2QDZLADNo8iQQ,NvKNe9DnQavC9GstglcBJQ,3,2015-06-29,"Had breakfast here this morning. The buffet looked like a normal buffet and nothing special. If you want an omelet and all the hash browns and bacon you can consume, then this might be the choice for you. 

I opted for the Baja omelet.  It was rather large and I couldn't finish it. The omelet was full of vegetables and overall I would recommend.",1,0,0
14840,A21fnJQxSEOUOGERI_wXAg,JXHrhT72U6sZJQSkFfNzjw,NvKNe9DnQavC9GstglcBJQ,4,2014-01-17,"For years, the Grand Lux was the best 24 hour coffee shop in Vegas in my opinion.  I don't know if that's true now, places like Central at Caesars are certainly giving it a run for its money, as casinos are investing more thought and money into these 24 hour joints.  But, Grand Lux is certainly an excellent place to eat any time of day, and you'd be hard pressed to find better food in the middle of the night.

The menu is expansive, which is not surprising given that it's owned by the Cheesecake Factory folks.  Most sandwiches are a good bet in my experience; the club is a favorite of more than one visitor I've taken to Grand Lux.  The fries are good, but they are rarely seasoned.  The buffalo chicken spring rolls are a favorite of mine, whenever we get appetizers they get my vote.  They are made like traditional spring rolls, but with the buffalo and blue cheese flavor wing fans will like.  The Grand Lux Burger Melt is another menu item I've ordered more than once.  Served on grilled parmesan bread, it's a play on a patty melt.  Certainly not appropriate if you're looking for a light meal, but it's a great burger.

More than once, I've had the breakfast buffet in the morning.  It's very simple:  pastries, fruits, eggs, breakfast meats, potatoes, etc.  But, it's all fresh and hot, and they make omelets or hash browns to order.  I prefer my hash browns extra crispy, so they made some and brought it to the table.  Since Venetian doesn't have a buffet, this is a nice option in the morning.

Finally, I love the strawberry lemonade, but it's too sweet.  I get it without the sugar lining the rim, and that does the trick for me.

Service can be spotty during peak hours, but I've never had any major issues.",3,0,2
15842,x3gnQw6P8PTl2AuNKzfPmQ,WJvzKrfYWu5kTCI7BIDDaw,NvKNe9DnQavC9GstglcBJQ,5,2016-09-19,"Great food, very broad menu and as fairly priced as anything you will find of that caliber at a nice hotel in Vegas.",0,0,0
