index,review_id,user_id,business_id,stars,date,text,useful,funny,cool
1161,kWb8t0D_LvFdMw2vWr6QGQ,jierO7pbroyHWTjDDhMubQ,ii8sAGBexBOJoYRFafF9XQ,3,2014-07-07,"I've never stayed at Paris Las Vegas but I have spent a fair amount of time gaming in there. I love the blue sky and clouds mural on the ceilings and the light effects they do to mimic day light. The casino floor is nice, but I think Paris thinks a bit too highly of themselves because their table minimums were awfully high, and their poker tourneys were set at buy-ins that were so high that they were only filling half of the field.

However, Paris does have one little thing that sets it apart from every other place on the Strip: their breakfast buffet. This breakfast spread they have, set in a Parisian village theme, is absolutely out of control. I have never in my life seen so many different options on a breakfast buffet. At $30\/person, it's steep, but it is an experience you'll never forget. In the ""you're not going to believe this just happened to me"" Vegas-story fashion, my buddy and I are standing in this incredibly long line waiting to pay our $30 each and these two incredibly cute girls walk out of the buffet area and headed over to us. They asked us if we'd like two free coupons for the buffet; of course we took them graciously and chatted for just a minute. They had to go to the airport and weren't going to be in town to use them. They informed us we didn't have to wait in line, we could just walk in -- and walk in we did. Certain things in life are just perpetual game-changers, and Paris' breakfast buffet is one of them.

Everything you ever wanted or could dream of wanting for breakfast was there. Since that experience, it's been a tradition that every time I'm in town, I go to Paris for breakfast only. They can keep the gaming and sell that to the tourists. If I want to game, I'll go to the MGM, Rio, Caesars or the Bellagio. In fact, Paris could just close its casino as far as I'm concerned and keep the breakfast buffet open. This is also where my nickname ""Bullmoose"" originated, so it's been a great story to tell!",0,0,0
4249,VTUvi8LLcjOyzN0UTqg3KQ,fVh5YZ4acN8mLqJBS8Q_Kg,ii8sAGBexBOJoYRFafF9XQ,2,2010-04-13,"I am ONLY reviewing the two eating establishments here since we didn't stay here.  It was a time when we were both overly hungry and needed food ASAP.  The sandwich from the hotel was great the first bite and it got exponentially worse after every bite, since I was no longer starving.  Then we headed to that madeline's bakery that had just opened and ordered some eclairs.  Those eclairs looked good but the dough was gummy and soggy.  The cream tasted like Jello instant vanilla pudding and the chocolate outside tasted like Jello chocolate pudding.  All in all, everything looked pretty but didn't taste great.",0,0,0
8873,v-zTwlStpGrbgxKAu6xKUA,9ryrglJH9CM46mt5Ts2CSA,ii8sAGBexBOJoYRFafF9XQ,2,2010-06-23,"Me and my husband got married at this hotel last month. I stayed in a standard room with my family for the first two nights, and the room was just alright. Nothing fancy or impressive about it. For our wedding night, we booked a suite and requested early check-in. When I attempted to check in that morning, the lady told me that a suite wasn't available yet and to try again later. Totally understandable since I knew that early check-in wasn't guaranteed. The thing that got me though was when I asked her to please call me when a suite became available. She replied, ""This is a big hotel. We don't do that."" WOW. I'm sorry that I'm not worth a simple phonecall, especially when I am getting married in your hotel and paying nearly $20,000 for the chapel and catering services!  Minus three stars for the rude customer service at the front desk!",1,1,0
10393,PCa0iEhjwGgVYtvFQ2pxlA,IS9yw8P2uAPBX6FNLLX4KA,ii8sAGBexBOJoYRFafF9XQ,3,2014-01-28,"Paris Hotel is famous for its iconic Eiffel towel.  Just across the famous Bellagio Water Fountain. Their parking garage is short walking distance similar to Montel Carlo, however be aware is been shared by Bally as well.  You had to walk by army of slow machines and tablets before you can get to the lobby or elevator.  For guess will be okay but if you are a self-parking hotel will not like that idea at all, the check-in lobby had many beautiful Chandeliers.  

One thing irony, they had dancer near the gaming tablet.  I just do not see any French Connection with that.  However, does had entertainment value and definite can cause distraction to those who play that. 

I was not that fan of their interior style, a fan like it but it does not see too impressive or most romantic.  The crowd was mostly in older 40 and higher.  I do wanted to go up the Eiffel towel in the near future.",13,12,14
14876,Xbz1M9zmHYh6_G5L-E5q_w,JXHrhT72U6sZJQSkFfNzjw,ii8sAGBexBOJoYRFafF9XQ,3,2016-10-03,"This is close to a 2 star review.  I stayed 3 nights at Paris in late September\/early October of 2016.  We arrived well before check in time (which is 4 pm).  My room was ready, which was great, but I was told there would be a $25 or so fee for early check in.  I didn't want to deal with the bell desk holding my luggage, so I just paid it.  But, it's frustrating when the room is sitting there cleaned and ready to go and they still charge you.  I get that Caesars is a corporation and needs to make money, but I feel like more and more places in Vegas (not limited to Caesars properties, see the parking charges at MGM joints now) are nickel and diming you at every opportunity.  Very annoying.

The room is below average for comparably priced hotels on the Strip.  The center of the room has a sort of wardrobe cabinet with 2 areas for hanging clothes on either side and a small fridge in the middle.  The room safe is in there as well.  It was serviceable and got the job done, but it had clearly seen better days.  Many scuffs, scratches, dings, etc.  2 of the magnetic doors didn't work, so you had to kind of rest of the door instead of actually getting it closed.  And, it is located in the center, which means they put the TV on the wall off to the side.  Not a great location and difficult to see from certain areas of the room.

The bathroom had a lot of counter space, which was nice.  There is a small square shower and a soaking tub.  It's similar to the basic bathroom at Bellagio, but not nearly as nice, smaller, and clearly more worn.  While we were staying at Paris they were doing quite a bit of construction (which was loud at times).  I don't know if they are renovating all of the rooms, but the renovation is a good idea.  Given other options on the strip, an upgrade to the accommodations is sorely needed at Paris.

The casino is decent size with several areas for table games, including the massive forest of slots and video poker machines that populate all casino floors.  The sportsbook is on the smaller side, but we were able to get a table to ourselves to watch college football on Saturday.  At a lot of the larger books this is difficult during football season.  But, we only had a cocktail waitress for the first half, during the second half of our game we had to go to the bar to get drinks.

There are some solid restaurants at Paris, including Gordon Ramsay Steak and Mon Ami Gabi.  Additionally, you've got several quick places to get a bite, including JJ's Boulangerie and the Creperie.  The line for crepes can get long depending on the time of day.  I haven't eaten at the Paris buffet in years, but when I went I recall it being better than average.  Also, during my stay, I never saw lines that were close to the massive lines you'll see at the more popular buffets (like Bellagio or Caesars).  

I would stay at Paris again if i were offered a good deal for the room, and if I had a newly upgraded room.  For the price you pay at Paris, you can get a much nicer room at other locations on the Strip.  But, if they renovate well, I'd come back.",4,0,0
15805,wvnRStwnNPGrpoiK-oizFw,D0F709YrdItqpSRfRoeyDg,ii8sAGBexBOJoYRFafF9XQ,1,2017-02-28,"Refuse resort fees from Caesar's properties until the included services are improved! While this review is largely a gripe about the Mandara Spa at Paris, I'm making it a review of the Casino\/hotel because of the utter scam of their resort fees. I stayed in a newly renovated Burgundy Room. It is fresher, but lacking any kind of notable luxury. If you're paying for the room, they are not worth paying extra. I've stayed at both Paris and Planet Hollywood a number of times, loved these properties and was usually comped rooms. Now, even if you are comped, you must pay a resort fee of $30+ a day. They attach value to it by telling you that all guests can use the spa facilities, and that free wi-fi is included. The Wi-fi is functional, but slow. My phone data is faster. If it wasn't included, I actually wouldn't have any real reason to use it... my phone and tablet both have data plans, and I like to spend my time at a casino gambling, eating, drinking, and sleeping. It has almost no value for me. 

Likewise, if you don't pay the resort fees (and the only folk that don't are, I believe Seven Stars members), a trip to the Spa facilities is about $25\/day. This is a fee that I've gladly paid in the past to slip in a couple times a day and use the jacuzzi, steam room, and sauna, then perhaps sit and read in a chaise to relax, while enjoying some juice and water to rehydrate after the rigors of casino fun.

However, now those services are ""included"" (a clever way for you not to be able to ask for a refund of the spa fee, a thing you would certainly do, if you pay it a visit). The Spa facilities at Paris are very very tired. Beyond that, they are barely functional. I'm pretty good at overlooking small annoyances, but my trip to the spa today was an exercise in futility.

When I arrived, I was issued a locker key. They also used to offer sandals, so that you felt a bit safer walking around the wet ground that was probably crawling with micro-organisms. I changed into the robe in the locker, used the toilet (that was the only functional thing in the spa, by the way, but I have one in my room too), and prepared to shower. 

- The shower room was dim, and noticeably infested with gnats or small flies. They were probably just after the water, but their presence speaks to poor cleaning in the shower rooms. 
- The shower area was bereft of towels. I had to acquire one from the front locker area (but even then, the towels were not well-stocked).
- After showering, I turned the timer for the jacuzzi and nothing happened. I waddled out to the men's locker room reception area, and waited for the attendant to appear (there is no bell to summon them, and they're understaffed).
- He informed me that the Jacuzzi was fine, but the jets weren't working (a previous guest had hit the emergency stop button, and it needed to be reset by professionals). He said the water was hot, just not moving.
- I went back to the jacuzzi, stepped into the water, and it was only slightly warmer than room temperature, so didn't feel that there was any reason to soak. Plus, tepid water combined with no jets means ""welcome bacteria."" This tub should have been off-limits, and the debris in the bottom was alarming.
- I shrugged it off and decided to try the steam and sauna. The steam room was okay, but smelled off, like the mechanisms hadn't been cleaned properly. I stayed for a few minutes, but decided to try one last thing...
- The dry sauna. The temp there was no warmer than the less-than-tepid jacuzzi water. Surely not more than 80 degrees F. There didn't seem to be an accessible dial where it could be turned up.
- I gave up. I was dripping from the steam room, so returned to the shower to clean up, where there were still no towels. So, back to the front, get a new towel, shower with the flies, and dry off. 

Every place has bad days, but reviews of the spa are bad for a reason. This doesn't appear to be a lone case. I recently stayed at the Harrah's in Reno, NV, and had an almost identical experience at their spa facilities (also ""included"" in the resort fees). Nothing worked, everything was dingy and smelled like infection.

The problem with including services in mandatory resort fees is that you can't really ask for a refund or just avoid the services, and if you never use them, you don't realize that they aren't worth paying for, which gives Caesar's Entertainment NO REASON to fix anything. 

My tip to the stalwart: tell them you will not pay the resort fees until the services are worth the price. They very clearly state what the fees are for; if you don't need Wi-fi and don't want to spend time in a broken down spa, these fees do nothing. Refuse them.

There's not enough space for me to review the tedious ""Express Check-in"" or the under-staffed registration desk. Make this right, Caesar's! I used to love you, but get more value from Cosmopolitan, and I can gamble *anywhere.* - TR member, Platinum, formerly Diamond, probably soon gone.",3,1,0
15856,tqhR7Gy4MeY86EmjRZa0TQ,OR593sPhK-32kift_bUrTg,ii8sAGBexBOJoYRFafF9XQ,5,2012-08-26,"What I like the most, is the Eiffel tower. It's been 8 years since I've been in France... Just shows how much I'm ready to go back. :)",1,1,0
20828,ciugPej6YlzYrOtiIgG3qQ,ZCtJdzlP71QNIdDoKhg63g,ii8sAGBexBOJoYRFafF9XQ,1,2009-12-16,"this review comes from someone who went to gamble and window shop at paris, haven't stayed there, maybe the rooms aren't awful. 
with that being said: i have never felt so instantly claustrophobic and sick when i walked into a room before. the ceiling is painted in this weird faux sky  design and the lighting in there is really low so it makes it look like the most depressing, awful weather  ever. the air is dank and the ventilation is pathetic. i get that vegas is overwhelming and as inauthentic as you can get, but this was truly sickening. skip it.",0,0,0
21205,C75_rZBDPzEPZe1F-gHmkQ,6YYpJ59jfFCUHkGOpu2NTA,ii8sAGBexBOJoYRFafF9XQ,3,2015-08-07,"I always enjoy my time at Paris. I've only stayed here once but I always stop by whenever I'm Vegas for some reason or another. They have some of the tastiest restaurants with Mon Ami Gabi being a personal favorite. The rooms are well accommodated but a little outdated, especially compared to some of the newer kids on the block like the Cosmo. There are lots of little shops, tons of slot machines and a lot to do overall. The location is great - center strip.",0,0,1
21596,jUmUsR-B87i_O5cOEL5-hQ,SpnvzVVY5zIE1Ylq6o2gLA,ii8sAGBexBOJoYRFafF9XQ,3,2015-03-16,We stayed at Paris for one night and we will revisit the hotel again but not stay overnight. The hotel itself was beautiful. The decor was perfect for a Paris theme and the restaurants were great. They had really great breakfast. The room itself was a major disappointment. Their beds were not comfortable and the bathroom was rusted and looked like it had mildew.,0,0,0
